Cat_id,Cat_name
907,"Admin,Secretarial"
7,Finance & Accounts
22,IT
14,Marketing & Communications
20,"Sales,Business Development"
2,"Banking, Insurance & Financial Services"
1000,"Education,Teaching"
9,Health Care
17,"Manufacturing,Engineering,R&D"
16,"Pharmaceutical,Biotechnology"
908,Real Estate
23,"Telecom,ISP"
15,Others
1280,Sales - Corporate
1271,Marine Services
1253,Engineering - Environmental/Health/Safety
1267,IT/Software Development - System Programming
1281,Sales - Engineering/Technical/IT
1272,Marketing Research & Analysis
1254,Engineering - Mechanical/Automotive/Industrial
1268,IT/Software Development - System Programming/Middleware
1282,Sales - Financial Services (Insurance/Unit Trust/Others)
1273,Merchandising & Planning/Category Management
1255,Fashion/Apparels
1246,Anchoring/TV/Films/Production
1260,IT/Software Development - Client Server
1251,Engineering - Electrical
1265,IT/Software Development - Other
1279,Quality Control/Assurance
1270,Journalism/Content Writing/Editing/Correspondent
1284,Sales - Telesales/Telemarketing
1275,Performing Arts (Music/Dance/Theater)
3,"Customer Service,Call Centre,BPO"
11,Human Resources
13,Legal
18,"Purchase,Logistics,Supply Chain"
5,"Advertising,Entertainment,Media"
786,Construction
6,"Export,Import"
10,"Hotels,restaurants"
785,Oil &amp; Gas
1071,"Analytics,Business Intelligence"
19,Retail Chains
24,"Travel,Airlines"
1249,Digital Marketing
1263,"IT,Software Development - Mainframe"
1277,"Product Management,Product Development,UX"
1259,"IT,Software Development - Application Programming,Maintenance"
1250,Engineering - Chemical
1264,"IT,Software Development - Network Administration,Security"
1278,Public Relations
1269,"IT,Software Development - Systems,EDP,MIS"
1283,"Sales - Retail,General"
1274,Operations
1256,"Guards,Security Services"
1247,"Architecture,Interior Design"
1261,"IT,Software Development - DBA,Datawarehousing"
1252,"Engineering - Electronics,Communication"
1266,"IT,Software Development - QA &amp; Testing"
1257,"T- Hardware,Telecom,Technical Staff,Support"
1248,"Arts,Creative,Graphics Design"
1262,"IT,Software Development - Embedded,EDA,VLSI,ASIC,Chip Description"
1276,"Personal Care,Beauty,Fitness Service"
1258,"IT,Hardware - Embedded,EDA,VLSI,ASIC,Chip Description"
